"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"Bergmann NN.1","Ttyh1","Bergmann NN",-0.419989818569439,9.26058058517545,-1.49750859960981,0.186223867443146,0.882268942485735,0.958486945342003,-4.47251766725341,"Fentanyl-Saline"
"Bergmann NN.2","Nup98","Bergmann NN",-0.0763406700719456,7.87218280013893,-0.238631461685927,0.81954189191175,0.985359438082581,0.99698489167618,-4.77160279748267,"Fentanyl-Saline"
"Bergmann NN.3","Ermard","Bergmann NN",0.0156962120040607,6.82190861655662,0.0571828804401486,0.956305196521329,0.993661440102114,0.998035172475276,-4.78131680581652,"Fentanyl-Saline"
"Bergmann NN.4","Akt2","Bergmann NN",-0.571854354329215,8.19495483751693,-2.0170492807117,0.091556679103484,0.843130180715817,0.930370242850555,-4.31345814791822,"Fentanyl-Saline"
"Bergmann NN.5","Ube3a","Bergmann NN",-0.0850129572384724,8.3675469930326,-0.200317169601558,0.848024047914714,0.985359438082581,0.99698489167618,-4.77463037058625,"Fentanyl-Saline"
"Bergmann NN.6","Acadsb","Bergmann NN",-0.274752596189109,7.48285310945774,-0.98649636894177,0.36297154963819,0.939438735416322,0.979887358241222,-4.62613411559095,"Fentanyl-Saline"
"Bergmann NN.7","Scd2","Bergmann NN",0.32413767307029,9.16821754333514,0.793487509077485,0.458503331246753,0.955078198233442,0.98818825151118,-4.67655122866043,"Fentanyl-Saline"
"Bergmann NN.8","Atxn2l","Bergmann NN",0.183507681005439,7.0464410976796,0.463532296356014,0.659750409863903,0.968377485494057,0.990664317538095,-4.74387046311945,"Fentanyl-Saline"
"Bergmann NN.9","Idh2","Bergmann NN",-0.20957800160128,7.38946960145623,-0.549540993170571,0.602992319374823,0.966506956100451,0.988691017535907,-4.7290874992159,"Fentanyl-Saline"
"Bergmann NN.10","Fam120b","Bergmann NN",0.487982664613489,6.75943254986908,1.7430199004661,0.133301136820562,0.869068414264409,0.940360077547344,-4.3960952948739,"Fentanyl-Saline"
"Bergmann NN.11","Grk5","Bergmann NN",-0.409621587082007,8.58442116151285,-1.42050746040518,0.206568501373858,0.882268942485735,0.960855084579487,-4.49654792339578,"Fentanyl-Saline"
"Bergmann NN.12","LOC102555672","Bergmann NN",0.712965292267779,6.33886246261351,2.04891125445051,0.0876493610919914,0.843130180715817,0.930370242850555,-4.30414394830801,"Fentanyl-Saline"
"Bergmann NN.13","Rab30","Bergmann NN",0.0797284848073279,8.21006039840881,0.239714498139806,0.818740939812936,0.985359438082581,0.99698489167618,-4.77150976701564,"Fentanyl-Saline"
"Bergmann NN.14","Asrgl1","Bergmann NN",0.0703577702647848,7.12109113591237,0.189174463541755,0.85635730646613,0.985948269331975,0.99698489167618,-4.77541403059952,"Fentanyl-Saline"
"Bergmann NN.15","Vps13a","Bergmann NN",0.0969970457839011,9.0559277676215,0.341571455021288,0.744624825174222,0.976610661911824,0.993965260355923,-4.76096784150959,"Fentanyl-Saline"
"Bergmann NN.16","Chd2","Bergmann NN",-0.227888295409571,8.71230854106597,-0.694223674752398,0.514188231605475,0.957075952450369,0.988691017535907,-4.69965709007365,"Fentanyl-Saline"
"Bergmann NN.17","Plekhg1","Bergmann NN",0.149786338223743,7.08182793998041,0.494957639032446,0.63869250706776,0.968377485494057,0.988691017535907,-4.73871955363693,"Fentanyl-Saline"
"Bergmann NN.18","Myh14","Bergmann NN",0.381189506005307,7.16462941709926,1.06696958468951,0.328084988494541,0.930452351321613,0.973638589695053,-4.60340942577947,"Fentanyl-Saline"
"Bergmann NN.19","Smarca2","Bergmann NN",-0.136339347315747,9.00014073589637,-0.460210551722861,0.661996985035248,0.968377485494057,0.990664317538095,-4.74439762984079,"Fentanyl-Saline"
"Bergmann NN.20","Sash1","Bergmann NN",0.279597215165767,8.84096971692792,0.950738719837495,0.379397680450231,0.946624290949504,0.983539026516478,-4.63594456085554,"Fentanyl-Saline"
"Bergmann NN.21","Rbbp6","Bergmann NN",0.265423184021556,7.42668924124648,0.922943579367453,0.392563853453999,0.948022610242668,0.983653503209258,-4.64343500322792,"Fentanyl-Saline"
"Bergmann NN.22","LOC103690114","Bergmann NN",0.453933448858589,6.85755971541732,1.28792610638631,0.246435765652195,0.898690102789072,0.96361383751341,-4.53754915759366,"Fentanyl-Saline"
"Bergmann NN.23","Btbd10","Bergmann NN",0.193437681445377,7.20627076401124,0.609832532061065,0.564923810304485,0.960696338131855,0.988691017535907,-4.71748328320809,"Fentanyl-Saline"
"Bergmann NN.24","Nosip","Bergmann NN",1.05968268220276,6.51735976480091,2.08502351788796,0.0834259785213128,0.843130180715817,0.930370242850555,-4.29367428243146,"Fentanyl-Saline"
"Bergmann NN.25","Clptm1","Bergmann NN",0.184004543244296,6.76919207456777,0.604504734649317,0.568228049073969,0.961274680827794,0.988691017535907,-4.7185479928948,"Fentanyl-Saline"
"Bergmann NN.26","Axl","Bergmann NN",0.332276749556535,7.09997229901781,0.697721953383562,0.51215142838216,0.957075952450369,0.988691017535907,-4.69888054944502,"Fentanyl-Saline"
"Bergmann NN.27","Slc7a10","Bergmann NN",0.00647653286153371,8.72802954613335,0.0232121723954298,0.982253571674002,0.998273972459336,0.998538159086709,-4.78181509866108,"Fentanyl-Saline"
"Bergmann NN.28","Sec11a","Bergmann NN",0.0101170101940742,6.74816057748694,0.0236073126134089,0.981951539845763,0.998273972459336,0.998538159086709,-4.78181172191203,"Fentanyl-Saline"
