"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"Oligo NN.1309","Brpf1","Oligo NN",0.189398813868958,4.92443760608409,0.419510562771947,0.690735424156141,0.997834965727637,0.993965260355923,-4.64525038240974,"Fentanyl-Saline"
"Oligo NN.1310","Cecr2","Oligo NN",-0.261513024415009,7.43234944796654,-0.996935420613771,0.360625466993718,0.997834965727637,0.978267564576947,-4.59857563734907,"Fentanyl-Saline"
"Oligo NN.1311","Tex261","Oligo NN",-0.430734973668445,4.90796958125419,-1.04184882908073,0.341108424135534,0.997834965727637,0.976346422183955,-4.59403623472109,"Fentanyl-Saline"
"Oligo NN.1312","Phf14","Oligo NN",-0.0394045043461766,8.69058533466427,-0.140572343379764,0.893214521904303,0.997937136124794,0.997637689587809,-4.65564814335251,"Fentanyl-Saline"
"Oligo NN.1313","Dusp11","Oligo NN",-0.0997866794687239,5.86375305792532,-0.203569350561832,0.846012635919523,0.997834965727637,0.99698489167618,-4.65417222410499,"Fentanyl-Saline"
"Oligo NN.1314","Zfp384","Oligo NN",-0.16588745122154,5.86114574245161,-0.494377372604446,0.640162914041221,0.997834965727637,0.988916261733654,-4.64086487696884,"Fentanyl-Saline"
"Oligo NN.1315","Ints13","Oligo NN",-0.235909990764852,6.98266604974338,-0.826032385995496,0.443142278900156,0.997834965727637,0.985218172437093,-4.61497476804284,"Fentanyl-Saline"
"Oligo NN.1316","Hnrnpf","Oligo NN",-0.0947134796619027,6.4631513489167,-0.288127237151224,0.783798636012078,0.997834965727637,0.99555952941828,-4.65137200346704,"Fentanyl-Saline"
"Oligo NN.1317","Fgfr1op2","Oligo NN",0.123734001336978,6.49151475220912,0.385295855185243,0.714478422444051,0.997834965727637,0.993965260355923,-4.64704365669092,"Fentanyl-Saline"
"Oligo NN.1318","Zfp637","Oligo NN",0.680541926382621,4.89802572663161,2.17246245940219,0.0769473458571985,0.997834965727637,0.930370242850555,-4.47742046352247,"Fentanyl-Saline"
"Oligo NN.1319","Acrbp","Oligo NN",-0.648953668515011,4.64858026892974,-1.33677859616599,0.233942070859316,0.997834965727637,0.960855084579487,-4.56287421942047,"Fentanyl-Saline"
"Oligo NN.1320","Rtkn","Oligo NN",-0.0364432706026578,6.65796538774915,-0.110710819391377,0.915774894485623,0.998445767263238,0.997637689587809,-4.65616152662739,"Fentanyl-Saline"
"Oligo NN.1321","Pon2","Oligo NN",0.0821353142491388,6.9844931415814,0.31508801249498,0.764306354072658,0.997834965727637,0.995254168802233,-4.65028734159665,"Fentanyl-Saline"
"Oligo NN.1322","Exoc6b","Oligo NN",-0.277502615901252,9.4123584601677,-1.07368160044232,0.327809786179336,0.997834965727637,0.973638589695053,-4.59077363167848,"Fentanyl-Saline"
"Oligo NN.1323","Ahcyl2","Oligo NN",0.102831098382978,7.08003377095206,0.334683031334464,0.750258648126687,0.997834965727637,0.994163293509022,-4.64944230728354,"Fentanyl-Saline"
"Oligo NN.1324","Cacna2d1","Oligo NN",-0.296535667811083,6.61192908118717,-1.05038488056532,0.337499164770732,0.997834965727637,0.976144047572773,-4.59316482754282,"Fentanyl-Saline"
"Oligo NN.1325","Serbp1","Oligo NN",0.156894411064609,6.99215552965174,0.462594051087165,0.66139129216334,0.997834965727637,0.990664317538095,-4.64280219204125,"Fentanyl-Saline"
"Oligo NN.1326","Mical3","Oligo NN",-0.170943343141145,7.90835830601644,-0.671025354208984,0.529364459112829,0.997834965727637,0.988691017535907,-4.6282449459054,"Fentanyl-Saline"
"Oligo NN.1327","Kcna1","Oligo NN",0.0150048827385447,8.98383643092344,0.0509701108893629,0.961149936353366,0.998571408549911,0.998538159086709,-4.65682430722939,"Fentanyl-Saline"
"Oligo NN.1328","C4h2orf81","Oligo NN",0.0329822828403925,6.79670122182834,0.122283469433528,0.9070200261032,0.99822623672637,0.997637689587809,-4.65597689716568,"Fentanyl-Saline"
"Oligo NN.1329","Tmem168","Oligo NN",0.145277478156112,4.93414864009163,0.310718559961913,0.767452789532998,0.997834965727637,0.995254168802233,-4.65046929732867,"Fentanyl-Saline"
"Oligo NN.1330","Kcna6","Oligo NN",0.06455842673095,7.69118354119464,0.249507216490737,0.812025204759682,0.997834965727637,0.99698489167618,-4.65276550013263,"Fentanyl-Saline"
"Oligo NN.1331","Mkln1","Oligo NN",-0.39270295088891,7.94940321140048,-1.32764512271158,0.236748765426252,0.997834965727637,0.961752817861194,-4.56385895300125,"Fentanyl-Saline"
"Oligo NN.1332","Lsm8","Oligo NN",0.88625113983691,4.57923132399722,1.53180860364738,0.180892709249022,0.997834965727637,0.955156508782576,-4.54184932484454,"Fentanyl-Saline"
"Oligo NN.1333","Vopp1","Oligo NN",-0.528013563465295,4.1395021070976,-0.974757372580664,0.370592035787037,0.997834965727637,0.980697188465596,-4.60078659605252,"Fentanyl-Saline"
"Oligo NN.1334","Lancl2","Oligo NN",-0.298503984176177,5.28460610009169,-1.13978831167107,0.301580387799456,0.997834965727637,0.970418334308103,-4.58389666914545,"Fentanyl-Saline"
"Oligo NN.1335","Anxa4","Oligo NN",-0.388395926343279,5.46739567590146,-1.01593301259443,0.352261671424247,0.997834965727637,0.97729996807443,-4.59666524823878,"Fentanyl-Saline"
"Oligo NN.1336","Herc3","Oligo NN",0.0242866820777374,5.90796287162272,0.084291053883838,0.935809231350189,0.998571408549911,0.997637689587809,-4.65651476946873,"Fentanyl-Saline"
"Oligo NN.1337","Grm3","Oligo NN",-0.141962208083294,11.6831353440863,-0.459674267815114,0.663359651659844,0.997834965727637,0.99103654915329,-4.6429746487121,"Fentanyl-Saline"
"Oligo NN.1338","Nap1l5","Oligo NN",-0.176534885520988,5.96717219884957,-0.542698474073122,0.608610346556963,0.997834965727637,0.988691017535907,-4.63771488311111,"Fentanyl-Saline"
"Oligo NN.1339","ST7","Oligo NN",0.262617115105177,5.02195955551961,0.525414577651658,0.619793741934701,0.997834965727637,0.988691017535907,-4.63886931296757,"Fentanyl-Saline"
"Oligo NN.1340","Elapor2","Oligo NN",0.0507943714835992,9.31539716190302,0.185013717356738,0.859851879257826,0.997834965727637,0.997390930622842,-4.65466188299374,"Fentanyl-Saline"
"Oligo NN.1341","Exoc4","Oligo NN",-0.0858150802375643,8.93697175232943,-0.30993797135688,0.768015414574089,0.997834965727637,0.995254168802233,-4.65050155311472,"Fentanyl-Saline"
"Oligo NN.1342","Kcnd2","Oligo NN",-0.572938942716467,8.37999918000225,-1.33676182372611,0.233947197059162,0.997834965727637,0.960855084579487,-4.56287602816708,"Fentanyl-Saline"
"Oligo NN.1343","Rbm28","Oligo NN",1.11512529451866,5.31215943924226,2.37545610387179,0.0589273510095915,0.997834965727637,0.930370242850555,-4.45954704872846,"Fentanyl-Saline"
"Oligo NN.1344","AABR07060778.1","Oligo NN",0.189148875112605,6.47320748724816,0.345877975612735,0.742280353703212,0.997834965727637,0.993965260355923,-4.64893837594591,"Fentanyl-Saline"
