"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"CBX MLI Megf11 Gaba.5327","Gdf1","CBX MLI Megf11 Gaba",-0.401083578355135,5.53720552059118,-1.65254141582885,0.148297118588912,0.936196483806292,0.943928290125749,-4.52364288192991,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5328","Frg1","CBX MLI Megf11 Gaba",-0.144317164053545,6.11306412443381,-0.61423019091293,0.561081130370251,0.976428309278228,0.988691017535907,-4.63476901919626,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5329","Ank1","CBX MLI Megf11 Gaba",0.60468980810226,7.07544558311614,2.13803520362662,0.0752357881201269,0.921882165974806,0.930370242850555,-4.46950139443681,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5330","Mtmr7","CBX MLI Megf11 Gaba",0.262723620774508,7.61886514878451,1.06572267838761,0.326584594060893,0.959862629238363,0.973638589695053,-4.59152824924606,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5331","Rps24","CBX MLI Megf11 Gaba",-0.0694833921064513,6.67613851920645,-0.168939642732887,0.871263393295276,0.994991403449774,0.997523862754066,-4.65799590726034,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5332","Asah1","CBX MLI Megf11 Gaba",-0.23447492888833,6.64430978934841,-0.845839353458551,0.429314391794559,0.96163787719278,0.985218172437093,-4.61437545482287,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5333","Nisch","CBX MLI Megf11 Gaba",-0.12657355460287,6.80581083953195,-0.376803998080884,0.718977308940837,0.985557364530408,0.993965260355923,-4.65017480268439,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5334","Irs2","CBX MLI Megf11 Gaba",0.418866110788062,5.22224833575626,0.991069546699303,0.359024162813447,0.960921157158005,0.978159277649347,-4.5995789930263,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5335","LOC108348302","CBX MLI Megf11 Gaba",0.32619517188281,5.39381776497021,1.31237342727247,0.236238824820692,0.9506518674562,0.961191815458307,-4.56352397124041,"Fentanyl-Saline"
"CBX MLI Megf11 Gaba.5336","Pcm1","CBX MLI Megf11 Gaba",0.241656904041402,8.35197509387783,0.898278814331382,0.402828830313467,0.960921157158005,0.983653503209258,-4.60918181410527,"Fentanyl-Saline"
