"","gene","cluster_id","logFC","AveExpr","t","p_val","p_adj.loc","p_adj.glb","B","contrast"
"CB Granule Glut.1","Got1","CB Granule Glut",0.12562245034523,5.92394187970698,1.07186242715892,0.33756318667997,0.939331210501049,0.976144047572773,-5.93108341205526,"Fentanyl-Saline"
"CB Granule Glut.2","Map6","CB Granule Glut",0.0796919512294396,5.66513696076373,0.626184496115509,0.561395087800266,0.979232773879624,0.988691017535907,-6.31715983954143,"Fentanyl-Saline"
"CB Granule Glut.3","Zfyve27","CB Granule Glut",-0.267887213157656,4.89351824395791,-1.21072721874132,0.285388474684777,0.922684446888957,0.967278230688823,-5.78482938436075,"Fentanyl-Saline"
"CB Granule Glut.4","Sv2b","CB Granule Glut",-0.067385436236636,8.86262370395868,-0.54109958632734,0.613979105070803,0.979232773879624,0.988691017535907,-6.37229298036741,"Fentanyl-Saline"
"CB Granule Glut.5","Glrx3","CB Granule Glut",-0.308632157202702,5.43762249209193,-2.19577099150048,0.0851821038320653,0.816434846177359,0.930370242850555,-4.59721423419821,"Fentanyl-Saline"
"CB Granule Glut.6","Dpysl4","CB Granule Glut",0.0868599423836232,5.59307113974744,0.480193869397501,0.653383264415462,0.982063828840347,0.990132464592316,-6.40741694991432,"Fentanyl-Saline"
"CB Granule Glut.7","Fam204a","CB Granule Glut",-0.0603788264810152,5.50228145699414,-0.393045890725416,0.712102856766042,0.989398423668574,0.993965260355923,-6.45103247516179,"Fentanyl-Saline"
"CB Granule Glut.8","Ttyh1","CB Granule Glut",0.257565811175023,5.52701309420555,1.72463377216952,0.151284821873558,0.870543509443992,0.94485733856051,-5.182952351949,"Fentanyl-Saline"
"CB Granule Glut.9","RGD1307554","CB Granule Glut",-0.0243132028450832,4.64249415520859,-0.11418053486141,0.913982880344691,0.997217279785901,0.997637689587809,-6.53405778193336,"Fentanyl-Saline"
"CB Granule Glut.10","Mrpl36","CB Granule Glut",-0.0077679756797826,3.2193092946112,-0.0208300355994702,0.984267621506093,0.997217279785901,0.998538159086709,-6.5415831986149,"Fentanyl-Saline"
"CB Granule Glut.11","Bloc1s2","CB Granule Glut",0.0780077469732205,4.161088026966,0.215718974899618,0.838583920205146,0.997217279785901,0.99698489167618,-6.51415963536811,"Fentanyl-Saline"
"CB Granule Glut.12","Zfp94","CB Granule Glut",-0.948333376039054,4.88087097026107,-2.33137041205821,0.0725212468270586,0.8083397189909,0.930370242850555,-4.42891413609234,"Fentanyl-Saline"
"CB Granule Glut.13","AABR07005588.1","CB Granule Glut",0.108425225505441,4.80388734426823,0.822868569164245,0.451729378900974,0.974580694783663,0.98538045867764,-6.16505039694245,"Fentanyl-Saline"
